date,open,high,low,close,volume
2/21/2017,143.31,145.55,142.3,145.05,487289
2/22/2017,144.66,145.38,143.91,144.84,623503
2/23/2017,144.94,145.05,143.235,144.2,426212
2/24/2017,143.73,144.58,143.19,144.41,636340
2/27/2017,144.46,144.665,143.09,143.61,420531
2/28/2017,143.27,143.67,142.33,143.27,589674
3/1/2017,144.01,145.982,143.31,145.08,527538
3/2/2017,144.79,144.79,142.04,142.1,459340
3/3/2017,142.5,143.065,140.4,142.87,772557
3/6/2017,142.66,142.66,141.28,141.34,557132
3/7/2017,141.09,143.93,140.5,143.6,663145
3/8/2017,143.46,143.77,142.24,142.88,569450
3/9/2017,143.11,144.1,142.12,143.76,454269
3/10/2017,144.58,145.98,144,145.93,556531
3/13/2017,146,146.99,144.71,146.29,744148
3/14/2017,145.56,145.73,144.2,145.13,334809
3/15/2017,145.73,147.02,144.75,146.48,423170
3/16/2017,146.4,148,145.96,147.82,611112
3/17/2017,147.91,149.11,147.38,148.79,660992
3/20/2017,148.66,149.5,147.74,148.75,490672
3/21/2017,149.32,149.44,145.57,145.77,630397
3/22/2017,145.94,146.6,145.026,145.69,600222
3/23/2017,145.48,148.1995,145.05,146.55,662531
3/24/2017,146.96,148.19,145.57,146.57,389457
3/27/2017,145.64,147.09,144.16,146.52,617654
3/28/2017,146.5,147.54,145,147.13,397033
3/29/2017,141.19,143.5,140.63,142.1,1488742
3/30/2017,141.72,142.9,141.556,142.48,507910
3/31/2017,142.66,143.05,141.94,142.57,592317
4/3/2017,142.73,142.92,139.86,141.02,682617
4/4/2017,140.98,141.57,139.12,139.43,701320
4/5/2017,139.89,141.15,137.76,138.09,889302
4/6/2017,138.3,139.15,137.19,138.3,854788
4/7/2017,137.9,138.055,136.97,137.03,632929
4/10/2017,137.37,137.84,136.28,136.86,613689
4/11/2017,136.88,137.25,135.7,136.68,828304
4/12/2017,137.24,137.28,134.73,134.88,947725
4/13/2017,135.07,136.41,134.3,134.43,989587
4/17/2017,134.98,136.35,134.43,135.98,733934
4/18/2017,135.79,136.34,135.085,135.43,707441
4/19/2017,135.61,136.73,135.58,135.93,887512
4/20/2017,136.62,137.21,136.03,136.87,1227319
4/21/2017,136.79,137.1,136.13,136.54,811794
4/24/2017,137.92,138.54,136.93,137.93,999605
4/25/2017,137.52,139.34,137.51,138.19,1056075
4/26/2017,138.68,139.09,137.3,137.3,1433788
4/27/2017,126.01,130.05,125.3,126.99,3780003
4/28/2017,126.96,129.68,126.68,129.13,1684245
5/1/2017,128.91,130.3,127.11,127.4,1277448
5/2/2017,126.15,127.68,125.6,127.5,1151535
5/3/2017,126.67,127.79,126.29,126.99,977805
5/4/2017,127.12,127.7,125.97,126.42,1130272
5/5/2017,126.99,128.72,126.63,128.57,1109339
5/8/2017,128.58,129.84,128.09,129.76,1222233
5/9/2017,129.98,131.49,129.52,130.84,1022485
5/10/2017,130.59,131.67,129.46,131.6,1251676
5/11/2017,131.14,131.48,129.64,129.94,977464
5/12/2017,129.63,130.25,129.08,129.16,899018
5/15/2017,129.64,131.78,129.38,131.72,1065217
5/16/2017,131.46,131.93,130.23,131.38,782459
5/17/2017,129.9,130.62,127.71,127.87,1082749
5/18/2017,126.89,128.02,124.27,125.9,1271062
